ID_Entrega;Numero_CTe;ID_Cliente;ID_CD;ID_Destino;ID_Transportadora;ID_Veiculo;ID_Motorista;ID_Status;ID_Ocorrencia;Data_Coleta;Data_Prevista_Entrega;Data_Entrega_Real;Qtd_Volumes;Qtd_Volumes_Entregues;Peso_KG;Cubagem_M3;Distancia_KM;Valor_Mercadoria;Valor_Frete;Custo_Frete
ENT000011;35874756136;CLI011;CD03;DST012;TRP03;VEI022;MOT045;ST1;OC00;2025-01-01;2025-01-06;2025-01-06;473;473;24277.6;90.96;277.1;2148243.63;4346.56;2969.72
ENT000012;35479175435;CLI019;CD06;DST037;TRP08;VEI088;MOT020;ST1;OC00;2025-01-01;2025-01-04;2025-01-03;50;50;1872.0;7.98;66.6;107148.36;519.23;408.59
ENT000013;35405584638;CLI027;CD04;DST021;TRP01;VEI078;MOT039;ST1;OC00;2025-01-01;2025-01-05;2025-01-05;47;47;1946.7;12.02;305.6;101146.35;1029.97;796.61
ENT000014;35400568296;CLI013;CD01;DST003;TRP01;VEI005;MOT010;ST1;OC00;2025-01-01;2025-01-05;2025-01-05;645;645;22371.1;71.52;309.5;1429940.8;4009.65;3323.32
ENT000015;35229504793;CLI009;CD03;DST011;TRP02;VEI014;MOT028;ST1;OC11;2025-01-01;2025-01-06;2025-01-04;33;33;1398.4;7.46;585.0;24960.71;1242.35;1052.93
ENT000016;35769827656;CLI006;CD01;DST027;TRP04;VEI017;MOT044;ST1;OC00;2025-01-01;2025-01-10;2025-01-09;467;467;25763.9;155.61;2509.8;2135355.07;15886.61;11955.98
ENT000017;35361148065;CLI004;CD02;DST020;TRP03;VEI033;MOT027;ST1;OC00;2025-01-01;2025-01-08;2025-01-06;175;175;2754.5;8.71;1380.5;65712.31;4152.39;3185.75
ENT000018;35245777578;CLI021;CD05;DST026;TRP01;VEI010;MOT045;ST2;OC01;2025-01-01;2025-01-05;2025-01-04;867;796;15746.3;66.43;21.5;781548.16;2745.41;2339.24
ENT000019;35367344174;CLI016;CD01;DST008;TRP04;VEI019;MOT042;ST1;OC00;2025-01-01;2025-01-07;2025-01-07;157;157;1811.9;5.95;421.6;177554.85;1328.9;1026.11
ENT000020;35162161626;CLI015;CD03;DST001;TRP02;VEI001;MOT036;ST1;OC00;2025-01-01;2025-01-06;2025-01-06;184;184;8106.2;37.26;617.7;353239.3;3342.67;2636.46
ENT000021;35278240184;CLI013;CD01;DST024;TRP03;VEI086;MOT003;ST1;OC00;2025-01-01;2025-01-08;2025-01-07;183;183;7502.1;43.91;1758.8;490526.25;6558.16;5153.24
ENT000022;35328596443;CLI014;CD01;DST010;TRP04;VEI013;MOT052;ST1;OC00;2025-01-01;2025-01-07;2025-01-06;465;465;22393.1;119.68;524.2;1441132.44;4873.28;4053.58
ENT000023;35965073032;CLI018;CD05;DST042;TRP02;VEI034;MOT056;ST1;OC00;2025-01-01;2025-01-11;2025-01-10;51;43;2402.3;13.75;2132.2;98239.23;4697.79;3781.6
ENT000024;35789523301;CLI028;CD05;DST025;TRP05;VEI070;MOT006;ST5;OC08;2025-01-01;2025-01-07;2025-01-08;90;0;3249.1;12.17;809.8;209910.5;2913.15;2511.23
ENT000025;35406611582;CLI017;CD01;DST001;TRP01;VEI057;MOT053;ST1;OC00;2025-01-01;2025-01-05;2025-01-05;1154;1154;24217.7;148.86;107.1;966039.98;4136.82;3617.08
ENT000026;35827804053;CLI014;CD01;DST009;TRP01;VEI023;MOT015;ST1;OC00;2025-01-01;2025-01-06;2025-01-05;31;31;1170.3;4.26;676.5;30507.18;1124.71;1095.98
ENT000027;35704980909;CLI003;CD01;DST004;TRP05;VEI060;MOT049;ST1;OC06;2025-01-01;2025-01-06;2025-01-10;269;269;4871.4;17.94;157.3;68936.62;1408.57;1247.86
ENT000028;35366991917;CLI008;CD01;DST026;TRP01;VEI057;MOT006;ST1;OC00;2025-01-01;2025-01-09;2025-01-09;456;456;24301.5;123.41;2624.5;686183.67;14163.76;12730.23
ENT000029;35725489298;CLI003;CD01;DST001;TRP01;VEI012;MOT042;ST1;OC00;2025-01-02;2025-01-06;2025-01-06;77;77;3067.6;23.64;107.1;341062.66;760.57;622.52
ENT000030;35214592223;CLI020;CD05;DST024;TRP03;VEI007;MOT012;ST1;OC00;2025-01-02;2025-01-08;2025-01-06;51;51;2461.7;10.04;846.9;144133.63;2002.06;1666.21
ENT000031;35941863167;CLI003;CD01;DST011;TRP01;VEI073;MOT047;ST1;OC05;2025-01-02;2025-01-06;2025-01-07;22;22;831.9;4.39;617.9;32295.77;1173.8;989.96
ENT000032;35914570174;CLI014;CD02;DST005;TRP04;VEI017;MOT028;ST1;OC07;2025-01-02;2025-01-08;2025-01-10;666;559;28334.3;91.03;489.7;885075.62;5586.58;4876.85
ENT000033;35280469926;CLI025;CD01;DST009;TRP01;VEI005;MOT054;ST1;OC00;2025-01-02;2025-01-07;2025-01-07;2120;2120;18315.4;61.54;676.5;492015.69;8048.84;6905.01
ENT000034;35926151059;CLI013;CD01;DST035;TRP01;VEI012;MOT020;ST1;OC00;2025-01-02;2025-01-09;2025-01-09;147;141;3510.9;12.36;2574.5;144399.89;7032.24;5953.75
ENT000035;35983265212;CLI013;CD02;DST006;TRP08;VEI054;MOT047;ST1;OC00;2025-01-02;2025-01-05;2025-01-05;92;92;1181.1;4.84;78.1;70680.15;505.66;448.75
ENT000036;35544411099;CLI021;CD01;DST004;TRP01;VEI057;MOT060;ST1;OC00;2025-01-02;2025-01-06;2025-01-05;1997;1997;25995.5;160.85;157.3;529111.56;5973.19;5274.43
ENT000037;35601202057;CLI030;CD05;DST028;TRP02;VEI072;MOT007;ST1;OC00;2025-01-02;2025-01-08;2025-01-08;257;257;9534.1;33.86;797.4;78678.26;3756.94;3257.29
ENT000038;35528383291;CLI004;CD01;DST028;TRP01;VEI005;MOT004;ST1;OC00;2025-01-02;2025-01-10;2025-01-10;586;586;24798.8;191.88;2925.8;508515.94;14778.23;13985.95
ENT000039;35359124104;CLI008;CD01;DST001;TRP08;VEI077;MOT012;ST1;OC00;2025-01-02;2025-01-05;2025-01-04;250;250;5184.4;28.95;107.1;227477.87;1228.5;942.72
ENT000040;35696379957;CLI021;CD02;DST012;TRP05;VEI025;MOT035;ST2;OC01;2025-01-02;2025-01-07;2025-01-11;630;630;16950.2;83.11;515.8;326153.0;4578.19;4028.41
ENT000041;35967644040;CLI026;CD02;DST010;TRP01;VEI010;MOT050;ST1;OC00;2025-01-03;2025-01-07;2025-01-06;1497;1497;21169.2;98.52;625.3;1146051.16;7305.4;5382.22
ENT000042;35417439145;CLI003;CD01;DST011;TRP04;VEI008;MOT024;ST1;OC00;2025-01-03;2025-01-09;2025-01-09;280;280;15976.3;123.43;617.9;758104.85;4285.77;3281.86
ENT000043;35151099712;CLI024;CD02;DST001;TRP01;VEI057;MOT045;ST1;OC00;2025-01-03;2025-01-07;2025-01-06;1039;1039;22427.4;101.46;42.1;1252118.48;3737.64;2758.87
ENT000044;35749884412;CLI024;CD02;DST008;TRP02;VEI021;MOT050;ST1;OC00;2025-01-03;2025-01-08;2025-01-08;701;701;13068.0;57.16;498.4;911682.64;4319.53;3372.8
ENT000045;35435394298;CLI012;CD04;DST023;TRP03;VEI018;MOT023;ST5;OC03;2025-01-03;2025-01-08;2025-01-08;581;0;23505.1;106.03;488.9;1588102.43;5817.56;4459.36
ENT000046;35353366389;CLI008;CD02;DST004;TRP08;VEI047;MOT060;ST1;OC00;2025-01-03;2025-01-06;2025-01-06;116;116;1187.7;4.83;111.5;106033.0;639.84;485.45
ENT000047;35883938438;CLI008;CD05;DST031;TRP01;VEI073;MOT053;ST1;OC00;2025-01-03;2025-01-07;2025-01-06;8;8;479.1;3.81;143.4;11049.39;300.7;286.74
ENT000048;35828272062;CLI023;CD05;DST031;TRP02;VEI034;MOT043;ST1;OC00;2025-01-03;2025-01-08;2025-01-06;99;99;2499.8;17.89;143.4;120627.97;875.67;631.14
ENT000049;35584761045;CLI014;CD01;DST001;TRP01;VEI005;MOT042;ST1;OC00;2025-01-03;2025-01-07;2025-01-05;421;421;11184.1;60.18;107.1;459377.67;1808.26;1631.49
ENT000050;35470297354;CLI025;CD01;DST012;TRP01;VEI078;MOT015;ST1;OC00;2025-01-03;2025-01-07;2025-01-07;20;20;1159.7;4.8;420.5;49361.69;884.01;853.2
ENT000051;35890917918;CLI003;CD02;DST013;TRP02;VEI058;MOT008;ST1;OC09;2025-01-03;2025-01-09;2025-01-11;229;229;3096.9;19.12;1025.9;209225.66;3470.94;3000.24
ENT000052;35617110588;CLI020;CD05;DST035;TRP01;VEI012;MOT046;ST1;OC00;2025-01-03;2025-01-08;2025-01-08;102;102;3952.5;29.09;1182.0;61329.74;3112.8;2838.69
ENT000053;35990937338;CLI030;CD02;DST015;TRP02;VEI046;MOT018;ST1;OC00;2025-01-03;2025-01-08;2025-01-06;242;242;10941.8;34.44;428.4;719440.25;2715.13;2187.05
ENT000054;35438527025;CLI030;CD04;DST021;TRP05;VEI025;MOT030;ST1;OC00;2025-01-03;2025-01-08;2025-01-07;409;409;21233.4;173.4;305.6;623899.23;3680.22;3015.6
ENT000055;35539926456;CLI012;CD02;DST007;TRP01;VEI073;MOT046;ST6;OC10;2025-01-03;2025-01-07;;13;0;783.7;4.9;488.9;14219.72;886.95;823.5
ENT000056;35983287385;CLI006;CD03;DST009;TRP01;VEI082;MOT003;ST1;OC00;2025-01-03;2025-01-07;2025-01-07;295;295;5536.4;19.52;447.5;466446.26;1955.72;1647.76
ENT000057;35816955848;CLI024;CD01;DST009;TRP02;VEI014;MOT001;ST1;OC00;2025-01-03;2025-01-09;2025-01-10;64;64;1112.8;8.46;676.5;82192.56;1169.18;1039.15
ENT000058;35432389724;CLI024;CD04;DST023;TRP02;VEI009;MOT016;ST1;OC00;2025-01-03;2025-01-08;2025-01-08;404;404;23456.6;164.45;488.9;1213857.81;4837.99;3902.73
ENT000059;35966963858;CLI019;CD05;DST030;TRP01;VEI005;MOT041;ST1;OC02;2025-01-03;2025-01-07;2025-01-07;783;783;23637.3;181.79;331.1;884586.47;5493.62;4689.24
ENT000060;35324273294;CLI017;CD01;DST002;TRP01;VEI078;MOT002;ST1;OC00;2025-01-03;2025-01-07;2025-01-07;69;69;2021.4;13.86;97.9;29972.87;539.28;468.98
ENT000061;35771963270;CLI017;CD02;DST014;TRP02;VEI053;MOT056;ST1;OC02;2025-01-03;2025-01-09;2025-01-10;33;33;1564.0;6.34;968.9;155839.31;2461.3;2072.28
ENT000062;35379504878;CLI020;CD02;DST011;TRP01;VEI078;MOT024;ST2;OC01;2025-01-03;2025-01-08;2025-01-07;106;106;2418.3;8.07;658.3;139534.32;1829.14;1650.72
ENT000063;35304705967;CLI023;CD04;DST018;TRP05;VEI039;MOT020;ST1;OC11;2025-01-03;2025-01-09;2025-01-09;85;85;3034.2;15.44;689.2;188808.45;1943.55;1707.33
ENT000064;35141853589;CLI014;CD02;DST016;TRP04;VEI062;MOT046;ST1;OC07;2025-01-04;2025-01-10;2025-01-12;198;198;2699.1;11.17;561.1;85633.18;2097.62;2158.48
ENT000065;35549504171;CLI004;CD06;DST046;TRP06;VEI087;MOT047;ST1;OC00;2025-01-04;2025-01-12;2025-01-11;745;745;8426.8;27.31;2393.4;427724.75;18419.48;16539.87
ENT000066;35764981698;CLI014;CD01;DST007;TRP01;VEI012;MOT021;ST1;OC00;2025-01-04;2025-01-08;2025-01-07;66;66;3799.1;21.58;412.5;176496.57;1339.99;1264.56
ENT000067;35944214577;CLI008;CD02;DST017;TRP04;VEI062;MOT052;ST1;OC09;2025-01-04;2025-01-11;2025-01-12;246;246;7500.5;56.88;660.6;508948.67;3666.34;2994.02
ENT000068;35308315924;CLI026;CD02;DST001;TRP08;VEI011;MOT033;ST1;OC00;2025-01-04;2025-01-07;2025-01-07;574;574;23058.6;98.57;42.1;1123618.1;3558.94;2452.58
ENT000069;35332705513;CLI030;CD04;DST015;TRP01;VEI057;MOT054;ST5;OC04;2025-01-04;2025-01-08;2025-01-10;962;0;22236.0;107.6;18.0;1233777.54;3854.79;3207.7
ENT000070;35377818215;CLI013;CD02;DST021;TRP03;VEI018;MOT007;ST1;OC05;2025-01-04;2025-01-09;2025-01-11;809;809;21422.1;85.17;640.5;1030053.55;6555.56;5951.24
ENT000071;35301437452;CLI008;CD02;DST005;TRP04;VEI008;MOT031;ST1;OC00;2025-01-04;2025-01-10;2025-01-08;433;433;19241.4;66.53;489.7;1018199.46;3806.79;3229.14
ENT000072;35895389068;CLI020;CD02;DST021;TRP03;VEI085;MOT025;ST1;OC02;2025-01-04;2025-01-09;2025-01-11;290;290;11479.4;63.88;640.5;893549.46;4788.57;3616.98
ENT000073;35574670032;CLI022;CD01;DST013;TRP03;VEI024;MOT026;ST1;OC00;2025-01-04;2025-01-10;2025-01-10;251;251;6215.2;46.0;932.2;170950.16;4132.56;3385.48
ENT000074;35853594113;CLI004;CD02;DST023;TRP05;VEI076;MOT047;ST1;OC00;2025-01-04;2025-01-10;2025-01-10;255;255;10312.5;33.24;910.8;668995.05;4158.16;3289.52
ENT000075;35985775377;CLI025;CD01;DST014;TRP02;VEI074;MOT003;ST1;OC00;2025-01-04;2025-01-10;2025-01-10;562;562;22249.8;114.35;873.0;1853575.13;7961.5;6288.25
ENT000076;35784319889;CLI030;CD02;DST014;TRP05;VEI067;MOT037;ST6;OC10;2025-01-04;2025-01-10;;311;0;12927.1;89.11;968.9;1114812.98;6178.53;4947.3
ENT000077;35906783648;CLI009;CD02;DST018;TRP02;VEI056;MOT005;ST1;OC00;2025-01-04;2025-01-10;2025-01-08;28;28;950.6;3.07;1099.0;35414.57;2149.38;2034.84
ENT000078;35681580833;CLI009;CD02;DST001;TRP02;VEI053;MOT005;ST1;OC00;2025-01-05;2025-01-10;2025-01-09;194;194;1935.3;8.97;42.1;57049.66;634.63;506.41
ENT000079;35480279995;CLI014;CD05;DST035;TRP04;VEI065;MOT041;ST1;OC00;2025-01-06;2025-01-13;2025-01-11;375;375;21355.0;119.89;1182.0;670033.95;6103.39;5356.96
ENT000080;35428688830;CLI009;CD01;DST013;TRP01;VEI057;MOT033;ST1;OC00;2025-01-06;2025-01-11;2025-01-10;683;683;26090.2;194.35;932.2;1231577.85;6912.34;6536.05
ENT000081;35355645487;CLI003;CD03;DST006;TRP05;VEI052;MOT056;ST1;OC02;2025-01-06;2025-01-12;2025-01-13;49;49;912.8;5.14;678.3;78520.11;1163.97;1041.68
ENT000082;35939199851;CLI021;CD04;DST020;TRP01;VEI078;MOT060;ST1;OC11;2025-01-06;2025-01-11;2025-01-11;39;39;1876.6;9.28;969.6;53678.63;1786.26;1790.92
ENT000083;35288254822;CLI019;CD02;DST042;TRP04;VEI041;MOT027;ST1;OC00;2025-01-06;2025-01-18;2025-01-17;45;45;1795.9;6.66;3125.0;112286.93;5928.94;5023.88
ENT000084;35119950533;CLI029;CD03;DST001;TRP05;VEI067;MOT027;ST1;OC06;2025-01-06;2025-01-11;2025-01-14;411;411;14447.0;47.47;617.7;965407.01;5074.65;3848.35
ENT000085;35910031311;CLI004;CD02;DST037;TRP01;VEI010;MOT032;ST1;OC00;2025-01-06;2025-01-11;2025-01-09;744;744;22682.5;78.98;1038.3;811440.66;7393.93;6252.17
ENT000086;35301128602;CLI009;CD02;DST006;TRP08;VEI054;MOT030;ST1;OC05;2025-01-06;2025-01-09;2025-01-10;77;77;1866.9;11.15;78.1;107275.21;644.7;536.69
ENT000087;35488916775;CLI017;CD04;DST020;TRP02;VEI069;MOT015;ST1;OC00;2025-01-06;2025-01-12;2025-01-11;440;440;17598.8;91.2;969.6;1140638.43;6371.23;5077.22
ENT000088;35756721780;CLI030;CD02;DST007;TRP01;VEI005;MOT042;ST1;OC00;2025-01-06;2025-01-10;2025-01-09;447;447;26813.5;161.23;488.9;2287582.22;6049.22;4407.11
ENT000089;35337673911;CLI025;CD05;DST034;TRP01;VEI082;MOT038;ST5;OC04;2025-01-06;2025-01-12;2025-01-12;66;0;3411.1;18.06;1537.1;126938.11;4442.1;4306.61
ENT000090;35934299675;CLI028;CD01;DST012;TRP05;VEI060;MOT024;ST6;OC10;2025-01-06;2025-01-11;;141;0;4695.4;23.29;420.5;183798.93;1909.75;1641.29
ENT000091;35720523128;CLI001;CD04;DST017;TRP03;VEI086;MOT004;ST5;OC09;2025-01-06;2025-01-11;2025-01-12;157;0;4428.2;15.54;463.6;87791.12;2287.67;1987.24
ENT000092;35450077799;CLI016;CD02;DST013;TRP01;VEI057;MOT003;ST1;OC00;2025-01-06;2025-01-11;2025-01-10;265;265;12134.5;51.8;1025.9;772902.36;5501.64;5108.91
ENT000093;35451995609;CLI003;CD05;DST035;TRP01;VEI073;MOT055;ST1;OC00;2025-01-06;2025-01-11;2025-01-10;57;57;1002.9;5.72;1182.0;24293.84;1815.24;1769.27
ENT000094;35294845806;CLI013;CD05;DST033;TRP05;VEI081;MOT037;ST1;OC07;2025-01-06;2025-01-11;2025-01-25;337;337;14859.3;58.17;496.2;1396747.8;5181.76;3764.0
ENT000095;35428435079;CLI018;CD02;DST011;TRP03;VEI083;MOT003;ST1;OC00;2025-01-06;2025-01-12;2025-01-11;132;132;6878.8;36.48;658.3;308844.46;2840.91;2370.59
ENT000096;35503159014;CLI002;CD06;DST046;TRP02;VEI055;MOT056;ST1;OC00;2025-01-06;2025-01-16;2025-01-14;511;511;12191.8;72.14;2393.4;387458.26;12400.45;9624.77
ENT000097;35576439541;CLI014;CD01;DST001;TRP01;VEI005;MOT042;ST1;OC00;2025-01-06;2025-01-10;2025-01-09;690;690;16970.8;106.73;107.1;923081.85;2746.58;2429.77
ENT000098;35740669952;CLI014;CD01;DST003;TRP05;VEI039;MOT022;ST1;OC11;2025-01-06;2025-01-11;2025-01-11;161;161;5675.0;29.45;309.5;141998.27;1465.95;1411.01
ENT000099;35802590047;CLI014;CD02;DST007;TRP04;VEI030;MOT059;ST1;OC00;2025-01-06;2025-01-12;2025-01-12;67;67;2330.3;9.89;488.9;111873.3;1269.18;1207.34
ENT000100;35858295665;CLI016;CD04;DST020;TRP05;VEI081;MOT014;ST1;OC00;2025-01-07;2025-01-13;2025-01-13;412;412;20846.9;70.77;969.6;706846.18;7564.0;5952.09
ENT000101;35830412512;CLI012;CD01;DST001;TRP02;VEI053;MOT027;ST1;OC00;2025-01-07;2025-01-12;2025-01-11;48;48;2244.4;8.12;107.1;194475.88;537.96;439.16
ENT000102;35825403347;CLI003;CD06;DST042;TRP04;VEI013;MOT022;ST1;OC00;2025-01-07;2025-01-18;2025-01-17;887;887;31561.0;145.95;2170.5;2567934.07;12551.67;11106.08
ENT000103;35358348481;CLI009;CD02;DST004;TRP08;VEI011;MOT043;ST1;OC00;2025-01-07;2025-01-10;2025-01-09;1329;1329;21678.8;102.21;111.5;872226.28;4425.73;3403.72
ENT000104;35979460980;CLI030;CD04;DST020;TRP05;VEI059;MOT057;ST5;OC09;2025-01-07;2025-01-13;2025-01-16;1100;0;29569.5;100.06;969.6;1463473.41;8040.76;7097.65
ENT000105;35599553982;CLI022;CD06;DST041;TRP04;VEI062;MOT026;ST1;OC00;2025-01-07;2025-01-14;2025-01-14;200;200;10064.5;56.77;733.5;951824.11;3593.03;2600.01
ENT000106;35321533298;CLI012;CD03;DST001;TRP04;VEI042;MOT012;ST1;OC00;2025-01-07;2025-01-13;2025-01-13;115;115;5394.4;22.19;617.7;227101.47;2052.78;1903.64
ENT000107;35912902609;CLI014;CD02;DST005;TRP02;VEI053;MOT011;ST1;OC00;2025-01-07;2025-01-12;2025-01-11;132;132;2100.3;7.92;489.7;165802.11;1334.34;1274.12
ENT000108;35966084664;CLI008;CD01;DST013;TRP02;VEI069;MOT016;ST1;OC00;2025-01-07;2025-01-13;2025-01-13;445;445;11781.2;62.75;932.2;557205.59;6265.45;4984.72
ENT000109;35477318040;CLI018;CD02;DST013;TRP04;VEI019;MOT041;ST1;OC00;2025-01-07;2025-01-14;2025-01-14;36;36;2157.8;17.1;1025.9;166740.87;2063.87;1886.7
ENT000110;35275745991;CLI028;CD01;DST028;TRP04;VEI008;MOT033;ST1;OC00;2025-01-07;2025-01-17;2025-01-16;1777;1777;20492.3;78.22;2925.8;1887064.71;14746.85;12817.12
ENT000111;35589282188;CLI020;CD02;DST010;TRP01;VEI005;MOT053;ST1;OC00;2025-01-07;2025-01-11;2025-01-11;521;521;21653.6;74.96;625.3;781189.56;5643.1;4897.02
ENT000112;35491889280;CLI008;CD01;DST006;TRP01;VEI010;MOT039;ST1;OC00;2025-01-07;2025-01-11;2025-01-11;1556;1556;21159.8;153.51;174.6;985493.39;4546.79;3953.78
ENT000113;35690492842;CLI027;CD02;DST004;TRP08;VEI050;MOT018;ST1;OC00;2025-01-07;2025-01-10;2025-01-08;402;402;9633.6;38.35;111.5;561646.48;2141.59;1545.85
ENT000114;35867935795;CLI002;CD03;DST012;TRP02;VEI074;MOT005;ST1;OC02;2025-01-07;2025-01-12;2025-01-12;438;438;18021.5;101.29;277.1;971234.0;3932.36;2878.63
ENT000115;35286304629;CLI014;CD02;DST004;TRP01;VEI073;MOT045;ST1;OC00;2025-01-07;2025-01-11;2025-01-11;29;29;895.2;4.92;111.5;60315.19;377.39;341.6
ENT000116;35985750028;CLI019;CD02;DST010;TRP01;VEI078;MOT035;ST1;OC00;2025-01-07;2025-01-11;2025-01-10;60;60;1323.4;5.38;625.3;84895.6;1410.39;1296.81
ENT000117;35509991336;CLI020;CD02;DST007;TRP01;VEI005;MOT049;ST1;OC00;2025-01-07;2025-01-11;2025-01-09;2559;2559;27423.6;85.96;488.9;2103159.8;9970.25;7650.31
ENT000118;35584664735;CLI018;CD05;DST032;TRP01;VEI057;MOT053;ST1;OC00;2025-01-07;2025-01-11;2025-01-10;1033;1033;24480.0;89.69;243.2;1125958.78;4740.56;3960.6
ENT000119;35921474791;CLI020;CD02;DST012;TRP01;VEI005;MOT056;ST1;OC00;2025-01-07;2025-01-11;2025-01-11;2110;2110;29553.0;111.17;515.8;689833.37;7778.72;6345.12
ENT000120;35532760400;CLI009;CD01;DST004;TRP03;VEI007;MOT011;ST1;OC06;2025-01-07;2025-01-12;2025-01-15;44;44;1851.4;8.68;157.3;123549.5;650.02;565.48
ENT000121;35254385488;CLI030;CD05;DST034;TRP01;VEI057;MOT005;ST1;OC00;2025-01-07;2025-01-13;2025-01-12;315;315;15646.0;58.26;1537.1;1310032.98;8776.56;7289.31
ENT000122;35259493469;CLI012;CD02;DST008;TRP01;VEI005;MOT046;ST1;OC02;2025-01-07;2025-01-11;2025-01-09;392;392;10918.1;59.36;498.4;755717.76;3935.17;3568.68
ENT000123;35955882927;CLI013;CD02;DST038;TRP02;VEI004;MOT014;ST1;OC00;2025-01-07;2025-01-13;2025-01-13;90;90;4089.3;12.86;1084.7;387553.8;3384.95;2944.47
ENT000124;35295559934;CLI013;CD02;DST014;TRP04;VEI013;MOT035;ST1;OC00;2025-01-07;2025-01-14;2025-01-14;891;891;33254.4;177.57;968.9;2268497.56;8098.74;6768.21
ENT000125;35381225088;CLI028;CD02;DST043;TRP01;VEI057;MOT019;ST1;OC00;2025-01-07;2025-01-18;2025-01-18;629;604;27596.5;154.71;3401.7;734787.57;16226.3;15913.38
ENT000126;35267888146;CLI004;CD02;DST011;TRP01;VEI010;MOT047;ST1;OC00;2025-01-07;2025-01-12;2025-01-18;487;487;15740.3;122.67;658.3;1338653.77;4795.95;3795.66
ENT000127;35170724609;CLI007;CD02;DST010;TRP05;VEI067;MOT008;ST1;OC00;2025-01-07;2025-01-12;2025-01-12;724;724;19609.6;106.92;625.3;1187690.38;5716.24;4057.85
ENT000128;35282318744;CLI002;CD03;DST012;TRP05;VEI025;MOT003;ST1;OC00;2025-01-07;2025-01-12;2025-01-12;585;585;13555.3;57.69;277.1;1084923.85;3457.44;2514.8
ENT000129;35668310901;CLI001;CD05;DST035;TRP02;VEI053;MOT005;ST1;OC00;2025-01-07;2025-01-13;2025-01-12;76;76;2111.7;7.12;1182.0;175864.26;2562.4;2115.6
ENT000130;35728151808;CLI025;CD03;DST010;TRP01;VEI010;MOT038;ST7;OC05;2025-01-07;2025-01-11;;1866;0;19824.7;95.4;18.0;1605456.01;5116.36;4051.75
ENT000131;35626240432;CLI026;CD02;DST008;TRP01;VEI005;MOT039;ST2;OC01;2025-01-07;2025-01-11;2025-01-10;468;468;20523.5;92.58;498.4;472862.73;5446.71;4294.73
ENT000132;35330722987;CLI012;CD03;DST009;TRP01;VEI005;MOT010;ST1;OC00;2025-01-07;2025-01-11;2025-01-10;658;658;28991.6;112.33;447.5;1280385.73;5235.44;4751.3
ENT000133;35815421985;CLI012;CD02;DST008;TRP01;VEI010;MOT045;ST1;OC02;2025-01-07;2025-01-11;2025-01-12;452;452;15115.8;92.1;498.4;1274561.25;4475.5;3408.3
ENT000134;35899090225;CLI020;CD02;DST007;TRP02;VEI001;MOT001;ST1;OC00;2025-01-07;2025-01-12;2025-01-10;208;208;8782.4;68.22;488.9;512703.16;3010.68;2364.54
ENT000135;35656273130;CLI003;CD06;DST044;TRP02;VEI055;MOT043;ST1;OC00;2025-01-08;2025-01-18;2025-01-17;415;415;4752.1;36.69;2322.6;212017.65;10666.15;8719.89
ENT000136;35670432468;CLI012;CD05;DST035;TRP02;VEI056;MOT048;ST1;OC00;2025-01-08;2025-01-14;2025-01-14;57;57;2066.7;9.21;1182.0;36573.33;2340.55;2199.91
